Year,Region,Country,"Nationality Wise Number Of Foreign Tourists Arrivals (Ftas) In India (UOM:Number), Scaling Factor:1","Nationality Wise Average Duration Of Stay By Foreign Tourists Arrivals (Ftas) In India (UOM:Day), Scaling Factor:1"
"Calendar Year (Jan - Dec), 2019",Western Europe,Greece,,11.9
"Calendar Year (Jan - Dec), 2019",Western Europe,Ireland,,18.6
"Calendar Year (Jan - Dec), 2019",Western Europe,Italy,,15.5
"Calendar Year (Jan - Dec), 2019",Western Europe,Netherlands,,14.4
"Calendar Year (Jan - Dec), 2019",Western Europe,Norway,,17.3
"Calendar Year (Jan - Dec), 2019",Western Europe,Others,,14.0
"Calendar Year (Jan - Dec), 2019",Western Europe,Portugal,,27.0
"Calendar Year (Jan - Dec), 2019",Western Europe,Spain,,15.7
"Calendar Year (Jan - Dec), 2019",Western Europe,Sweden,,17.1
"Calendar Year (Jan - Dec), 2019",Western Europe,Switzerland,,15.2
"Calendar Year (Jan - Dec), 2019",Western Europe,United Kingdom,,18.9
"Calendar Year (Jan - Dec), 2019",Eastern Europe,Czech Republic,,15.5
"Calendar Year (Jan - Dec), 2019",Eastern Europe,Hungary,,15.3
"Calendar Year (Jan - Dec), 2019",Eastern Europe,Kazakhstan,,14.4
"Calendar Year (Jan - Dec), 2019",Eastern Europe,Others,,14.1
"Calendar Year (Jan - Dec), 2019",Eastern Europe,Poland,,13.6
"Calendar Year (Jan - Dec), 2019",Eastern Europe,Russian Federation,,15.6
"Calendar Year (Jan - Dec), 2019",Eastern Europe,Ukraine,,18.2
"Calendar Year (Jan - Dec), 2019",Africa,Egypt,,8.8
"Calendar Year (Jan - Dec), 2019",Africa,Kenya,,20.1
"Calendar Year (Jan - Dec), 2019",Africa,Mauritius,,13.7
"Calendar Year (Jan - Dec), 2019",Africa,Nigeria,,29.2
"Calendar Year (Jan - Dec), 2019",Africa,Others,,20.7
"Calendar Year (Jan - Dec), 2019",Africa,South Africa,,15.8
"Calendar Year (Jan - Dec), 2019",Africa,Sudan,,22.0
"Calendar Year (Jan - Dec), 2019",Africa,United Republic Of Tanzan,,20.5
"Calendar Year (Jan - Dec), 2019",South Asia,Afghanistan,,22.2
