Sl. No.,Districts/ States,Top 5 Commodities,Products/Services identified with Export Potential,Value of Export (in US$ Million)
82,Kutch (Gujarat),"5. Mica, Coal And Other Ores, Minerals Including Process","Mango, Kutch Embroidery, Kutch Shawls, Marine Products, Castor",191.56
83,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,2213.38
84,Total export of District,Total export of District,Total export of District,3448.67
85,Thane (Maharashtra),1. Engineering Goods,"Chemicals, Plastics related, Pharmaceuticals, Engineering, Textiles, Plastics related, Transport and Logistics Services, Information Technology & Information Technology enabled Services (IT & ITeS), Communication Services (Audio Visual Services - Motion picture and Video Tape production and distribution service), Management consulting Services, Engineering Services",1051.52
86,Thane (Maharashtra),2. Organic And Inorganic Chemicals,"Chemicals, Plastics related, Pharmaceuticals, Engineering, Textiles, Plastics related, Transport and Logistics Services, Information Technology & Information Technology enabled Services (IT & ITeS), Communication Services (Audio Visual Services - Motion picture and Video Tape production and distribution service), Management consulting Services, Engineering Services",452.62
87,Thane (Maharashtra),3. Drugs And Pharmaceuticals,"Chemicals, Plastics related, Pharmaceuticals, Engineering, Textiles, Plastics related, Transport and Logistics Services, Information Technology & Information Technology enabled Services (IT & ITeS), Communication Services (Audio Visual Services - Motion picture and Video Tape production and distribution service), Management consulting Services, Engineering Services",329.61
88,Thane (Maharashtra),"4. Cotton Yarn/Fabs./Madeups, Handloom Products Etc.","Chemicals, Plastics related, Pharmaceuticals, Engineering, Textiles, Plastics related, Transport and Logistics Services, Information Technology & Information Technology enabled Services (IT & ITeS), Communication Services (Audio Visual Services - Motion picture and Video Tape production and distribution service), Management consulting Services, Engineering Services",192.02
89,Thane (Maharashtra),5. Rmg Of All Textiles,"Chemicals, Plastics related, Pharmaceuticals, Engineering, Textiles, Plastics related, Transport and Logistics Services, Information Technology & Information Technology enabled Services (IT & ITeS), Communication Services (Audio Visual Services - Motion picture and Video Tape production and distribution service), Management consulting Services, Engineering Services",157.58
90,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,2183.35
91,Total export of District,Total export of District,Total export of District,3023.22
