Region,Country,Number of Arrivals-2019,Number of Arrivals-2020,Number of Arrivals-2021,Percentage Share  - 2020/19,Percentage Change - 2021/20,Percentage Change - 2021,Year,"Nationality Wise Average Duration Of Stay By Foreign Tourists Arrivals (Ftas) In India (UOM:Day), Scaling Factor:1"
South Asia,Pakistan,39018,14232.0,8163,-63.5,-42.6,0.53,"Calendar Year (Jan - Dec), 2021",62.21
South Asia,Pakistan,39018,14232.0,8163,-63.5,-42.6,0.53,"Calendar Year (Jan - Dec), 2020",63.8
South Asia,Pakistan,39018,14232.0,8163,-63.5,-42.6,0.53,"Calendar Year (Jan - Dec), 2019",29.9
South Asia,Sri Lanka,330861,68646.0,25989,-79.3,-62.1,1.7,"Calendar Year (Jan - Dec), 2021",21.58
South Asia,Sri Lanka,330861,68646.0,25989,-79.3,-62.1,1.7,"Calendar Year (Jan - Dec), 2020",15.0
South Asia,Sri Lanka,330861,68646.0,25989,-79.3,-62.1,1.7,"Calendar Year (Jan - Dec), 2019",11.1
South East Asia,Indonesia,50177,11795.0,2105,-76.5,-82.2,0.14,"Calendar Year (Jan - Dec), 2021",31.23
South East Asia,Indonesia,50177,11795.0,2105,-76.5,-82.2,0.14,"Calendar Year (Jan - Dec), 2020",32.9
South East Asia,Indonesia,50177,11795.0,2105,-76.5,-82.2,0.14,"Calendar Year (Jan - Dec), 2019",16.2
South East Asia,Malaysia,334579,69897.0,6628,-79.1,-90.5,0.43,"Calendar Year (Jan - Dec), 2021",35.91
South East Asia,Malaysia,334579,69897.0,6628,-79.1,-90.5,0.43,"Calendar Year (Jan - Dec), 2020",12.4
South East Asia,Malaysia,334579,69897.0,6628,-79.1,-90.5,0.43,"Calendar Year (Jan - Dec), 2019",10.2
South East Asia,Singapore,190089,33747.0,13407,-82.2,-60.3,0.88,"Calendar Year (Jan - Dec), 2021",31.61
South East Asia,Singapore,190089,33747.0,13407,-82.2,-60.3,0.88,"Calendar Year (Jan - Dec), 2020",13.7
South East Asia,Singapore,190089,33747.0,13407,-82.2,-60.3,0.88,"Calendar Year (Jan - Dec), 2019",10.3
South East Asia,Thailand,169956,52626.0,4668,-69.0,-91.1,0.31,"Calendar Year (Jan - Dec), 2021",71.11
South East Asia,Thailand,169956,52626.0,4668,-69.0,-91.1,0.31,"Calendar Year (Jan - Dec), 2020",13.7
South East Asia,Thailand,169956,52626.0,4668,-69.0,-91.1,0.31,"Calendar Year (Jan - Dec), 2019",14.4
South East Asia,Vietnam,33636,8828.0,1104,-73.8,-87.5,0.07,"Calendar Year (Jan - Dec), 2021",22.89
South East Asia,Vietnam,33636,8828.0,1104,-73.8,-87.5,0.07,"Calendar Year (Jan - Dec), 2020",14.1
South East Asia,Vietnam,33636,8828.0,1104,-73.8,-87.5,0.07,"Calendar Year (Jan - Dec), 2019",11.4
South East Asia,Others,8868,3386.0,622,-61.8,-81.6,0.04,"Calendar Year (Jan - Dec), 2021",102.51
South East Asia,Others,8868,3386.0,622,-61.8,-81.6,0.04,"Calendar Year (Jan - Dec), 2020",13.2
South East Asia,Others,8868,3386.0,622,-61.8,-81.6,0.04,"Calendar Year (Jan - Dec), 2019",19.5
East Asia,China,339442,39586.0,3502,-88.3,-91.2,0.23,"Calendar Year (Jan - Dec), 2021",98.15
East Asia,China,339442,39586.0,3502,-88.3,-91.2,0.23,"Calendar Year (Jan - Dec), 2020",29.2
East Asia,China,339442,39586.0,3502,-88.3,-91.2,0.23,"Calendar Year (Jan - Dec), 2019",16.2
East Asia,Japan,238903,48191.0,15358,-79.8,-68.1,1.01,"Calendar Year (Jan - Dec), 2021",53.79
East Asia,Japan,238903,48191.0,15358,-79.8,-68.1,1.01,"Calendar Year (Jan - Dec), 2020",25.4
East Asia,Japan,238903,48191.0,15358,-79.8,-68.1,1.01,"Calendar Year (Jan - Dec), 2019",15.0
East Asia,Others,54435,10304.0,1572,-81.1,-84.7,0.1,"Calendar Year (Jan - Dec), 2021",134.01
East Asia,Others,54435,10304.0,1572,-81.1,-84.7,0.1,"Calendar Year (Jan - Dec), 2020",22.3
East Asia,Others,54435,10304.0,1572,-81.1,-84.7,0.1,"Calendar Year (Jan - Dec), 2019",31.7
Australasia,Australia,367241,86758.0,33864,-76.4,-61.0,2.22,"Calendar Year (Jan - Dec), 2021",47.23
Australasia,Australia,367241,86758.0,33864,-76.4,-61.0,2.22,"Calendar Year (Jan - Dec), 2020",29.4
Australasia,Australia,367241,86758.0,33864,-76.4,-61.0,2.22,"Calendar Year (Jan - Dec), 2019",23.8
Australasia,New Zealand,65551,16653.0,4497,-74.6,-73.0,0.29,"Calendar Year (Jan - Dec), 2021",60.16
Australasia,New Zealand,65551,16653.0,4497,-74.6,-73.0,0.29,"Calendar Year (Jan - Dec), 2020",32.3
Australasia,New Zealand,65551,16653.0,4497,-74.6,-73.0,0.29,"Calendar Year (Jan - Dec), 2019",25.7
Australasia,Others,6147,1636.0,504,-73.4,-69.2,0.03,"Calendar Year (Jan - Dec), 2021",53.25
Australasia,Others,6147,1636.0,504,-73.4,-69.2,0.03,"Calendar Year (Jan - Dec), 2020",27.5
Australasia,Others,6147,1636.0,504,-73.4,-69.2,0.03,"Calendar Year (Jan - Dec), 2019",29.1
